,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,HUQ010,1,"Excellent,",{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
2,HUQ010,2,"Very Good,",{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
3,HUQ010,3,"Good,",{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
4,HUQ010,4,"Fair, Or",{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
5,HUQ010,5,Poor?,{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
6,HUQ010,7,Refused,{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
7,HUQ010,9,Don'T Know,{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
8,HUQ010,.,Missing,{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .,Both males and females 0 YEARS - 150 YEARS,nan,,
9,HUQ015,,,nan,Both males and females 0 YEARS - 150 YEARS,nan,,
10,HUQ020,1,"Better,",Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
11,HUQ020,2,"Worse, Or",Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
12,HUQ020,3,About The Same?,Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
13,HUQ020,7,Refused,Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
14,HUQ020,9,Don'T Know,Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
15,HUQ020,.,Missing,Compared with 12 months ago would you say {your/SPs} health is now . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
16,HUQ030,1,Yes,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
17,HUQ030,2,There Is No Place,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
18,HUQ030,3,There Is More Than One Place,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
19,HUQ030,7,Refused,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
20,HUQ030,9,Don'T Know,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
21,HUQ030,.,Missing,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Both males and females 0 YEARS - 150 YEARS,nan,,
22,HUQ040,1,Clinic Or Health Center,What kind of place {do you/does SP} go to most often: is it a clinic doctors office emergency room or some other place?,Both males and females 0 YEARS - 150 YEARS,nan,,
23,HUQ040,2,Doctor'S Office Or Hmo,What kind of place {do you/does SP} go to most often: is it a clinic doctors office emergency room or some other place?,Both males and females 0 YEARS - 150 YEARS,nan,,
